,K_INDEX,TOTAL_TOTALS,LIFTED_INDEX,SHOWALTER_INDEX,SWEAT,MIXR_SB,MIXR_MU,MIXR_ML,CAPE_SB,CAPE_MU,CAPE_ML,CAPE03_SB,CAPE03_MU,CAPE03_ML,CAPEHGL_SB,CAPEHGL_MU,CAPEHGL_ML,CIN_SB,CIN_MU,CIN_ML,LI_SB,LI_MU,LI_ML,LCL_SB,LCL_MU,LCL_ML,LFC_SB,LFC_MU,LFC_ML,EL_SB,EL_MU,EL_ML,WMAXSHR_SB,WMAXSHR_MU,WMAXSHR_ML
CAPE_ML,0.0592663010690754,0.2537919620098773,-0.5786611428925058,-0.21559072150765368,0.1498583866969692,0.5483677556819099,0.5483677556819099,0.5483677556819099,0.6759418801301111,0.7063431916338471,1.0,0.22610924679394082,0.15222785227458716,0.002583219285264737,0.6299620339086782,0.39139453892928167,0.8748948241226601,0.3777913589174594,0.27690554074744783,0.4211390465317023,-0.5777533077846426,-0.37403390662448666,-0.7534645584817193,0.2466569473412732,0.17045424471904363,-0.4662937320944442,-0.39210155184231993,-0.16460196153569262,-0.6021381513507256,0.26414723272077456,0.14489328594621045,0.8614341500547938,0.6229520538328621,0.5573351131707173,0.7364633103625738
CAPE03_SB,-0.21412566162044652,-0.1238458506455299,-0.03783287273869416,0.023867912759417166,0.07455833362646724,0.17408564756788625,0.17408564756788625,0.17408564756788625,0.1841290028119057,0.10325832712828568,0.22610924679394082,1.0,0.9625157652450377,0.7118998849547348,0.10967936760062677,0.1121860441850191,0.1106009809553368,0.3777279577714131,0.38137902549389363,0.5021764404167869,-0.05132701373358934,-0.1103208252939199,-0.006020079749507604,0.055398147296838174,-0.04950095372477041,-0.2465102200127088,-0.4213858908081627,-0.5786214211198296,-0.24187924034995936,0.22821069507592767,0.16756323002482282,0.23668583621042963,0.24901709565678876,0.20244072698794494,0.23994607910719828
CAPE03_MU,-0.2100973223695725,-0.1584639203682244,0.052321875713764426,0.049440868319832916,0.08854083451624131,0.14236901345096806,0.14236901345096806,0.14236901345096806,0.09792896237874975,0.04790436590862528,0.15222785227458716,0.9625157652450377,1.0,0.7192820487627147,0.02528063911168207,0.08338057057387466,0.046843619109125885,0.36489084866349175,0.38009263572762725,0.5169053044484746,0.042229368786819356,-0.09506217603168317,0.05595079775319432,-0.03437084627521891,-0.13276536136753356,-0.2761442226439695,-0.41709397059602177,-0.6272309188097385,-0.23620234467028234,0.21228352080127313,0.18015855463294167,0.18990167888784687,0.2516744188623367,0.2382936704463211,0.24804056755768678
CAPE03_ML,-0.25559626184642015,-0.31749915097822246,0.12005931694885041,0.16061720977649024,-0.18756027416912383,0.25707321380270814,0.25707321380270814,0.25707321380270814,0.09124807274915286,0.10873952297109028,0.002583219285264737,0.7118998849547348,0.7192820487627147,1.0,-0.03388421954655112,0.08183611117997593,-0.13444566417598697,0.12736882940660843,0.018175851570127695,0.11051456412204043,0.1105770721731652,-0.025707020755849855,0.2096066177822588,-0.2957051573079338,-0.3305715250991429,-0.08676126144092423,-0.3190412650838789,-0.4084660576174727,-0.2555597518505164,0.22412549670177917,0.21762323448613344,0.14666857900126234,-0.04260423191967335,-0.06635578805917497,-0.04251344645246243
CAPEHGL_SB,0.055982585320824556,0.2777621980336696,-0.8993900736937839,-0.2613101487949873,0.05993230044240702,0.7432525337700853,0.7432525337700853,0.7432525337700853,0.8718022112695101,0.7809378707794007,0.6299620339086782,0.10967936760062677,0.02528063911168207,-0.03388421954655112,1.0,0.8387996277174136,0.6873236498902675,0.5288765146850029,0.1521812365147879,0.1274114434928561,-0.8923060388713406,-0.606945126426494,-0.5679189039457815,0.20291689730311832,-0.012866272523753155,0.014468274022789801,-0.49937460247952953,-0.08914448760719042,-0.35082694579818713,0.5243726518777304,0.32242329233355144,0.5397056888001951,0.5563264260014414,0.39877978865462615,0.4476685370567468
CAPEHGL_MU,0.01050760212416299,0.21021842248637163,-0.7399028728253167,-0.22542190123037922,0.02463315759377094,0.6445978895555258,0.6445978895555258,0.6445978895555258,0.7011972739726395,0.6746306880318903,0.39139453892928167,0.1121860441850191,0.08338057057387466,0.08183611117997593,0.8387996277174136,1.0,0.488776144024054,0.445601623828089,0.01171369483656727,0.06577121298162109,-0.7405328753035252,-0.7287531360104548,-0.3796484489662142,0.08464837921169362,-0.33575930359510275,0.09403935600831634,-0.5053802817602363,-0.15694662971007453,-0.3384618497315869,0.5810267894229079,0.45057882741573874,0.413747893855778,0.4186431037529453,0.2992101966723393,0.28379199604253874
CAPEHGL_ML,0.2618757463292752,0.49472126081028966,-0.6814859215507156,-0.4119681319637365,0.33900698525762446,0.3808291286703303,0.3808291286703303,0.3808291286703303,0.506265408909859,0.5406528945649193,0.8748948241226601,0.1106009809553368,0.046843619109125885,-0.13444566417598697,0.6873236498902675,0.488776144024054,1.0,0.24106826979330506,0.1687748447332422,0.36973438945683185,-0.6813685661855943,-0.4427385403845563,-0.9149019981356352,0.22160311348692502,0.1566804005574132,-0.4698508360486808,-0.29455140842344857,-0.07593460618474877,-0.5841635535284928,0.1402865749439751,0.08616039797576383,0.723613969572947,0.5759964028185562,0.5492150054120605,0.7395556666178631
CIN_SB,-0.25286764848985444,-0.2664821763025549,-0.3772750109166898,0.20063365451071502,-0.15934281168823847,0.6660092962981171,0.6660092962981171,0.6660092962981171,0.6143545838575752,0.4952683176186335,0.3777913589174594,0.3777279577714131,0.36489084866349175,0.12736882940660843,0.5288765146850029,0.445601623828089,0.24106826979330506,1.0,0.6468876547865152,0.6184343128546382,-0.38707698047967326,-0.35370447375085556,-0.09115685323656296,-0.016584672457391415,-0.23230186671483996,-0.29472322496896997,-0.6284466259263004,-0.6806488417302843,-0.23154026846524242,0.5132728003317926,0.3681537089868935,0.44322105328537625,0.5605828298537442,0.4668571428037183,0.40683775387129373
CIN_MU,-0.21412784725997389,-0.3242373215734223,0.03409629838202149,0.22503299651725434,-0.09690228233413868,0.22453962115809695,0.22453962115809695,0.22453962115809695,0.24155541424726643,0.25815138073673183,0.27690554074744783,0.38137902549389363,0.38009263572762725,0.018175851570127695,0.1521812365147879,0.01171369483656727,0.1687748447332422,0.6468876547865152,1.0,0.7034949835961519,0.025402721431261845,0.1009121512416382,0.016277571978873438,0.047171557408128575,0.14012337532465602,-0.3734522483704584,-0.4626819744750366,-0.6608260714646198,-0.1973218997790847,0.12199152389615099,0.1705935814914215,0.2603901753036697,0.2983939885366695,0.32203066485093185,0.29462985419777743
CIN_ML,-0.18470716100366405,-0.17344784967715482,-0.06564928761074013,0.13129292720692937,0.03337918470202249,0.13097663741275406,0.13097663741275406,0.13097663741275406,0.16207136364157462,0.18424776088424422,0.4211390465317023,0.5021764404167869,0.5169053044484746,0.11051456412204043,0.1274114434928561,0.06577121298162109,0.36973438945683185,0.6184343128546382,0.7034949835961519,1.0,-0.09105239869499064,-0.20323048738370364,-0.2768548381175936,0.1638777993810917,0.049726971615665944,-0.4704435753261461,-0.4774473364745901,-0.7813477653953272,-0.43040284902006437,0.11150930824254478,0.13807448525037885,0.4403885222984299,0.46731418063038555,0.5059387258223271,0.533015697759384
LI_SB,-0.1659338987264882,-0.4900977860516625,0.9939780652316389,0.367619788512595,-0.21270851969583318,-0.5953796347705586,-0.5953796347705586,-0.5953796347705586,-0.7352150195596396,-0.6349399046923283,-0.5777533077846426,-0.05132701373358934,0.042229368786819356,0.1105770721731652,-0.8923060388713406,-0.7405328753035252,-0.6813685661855943,-0.38707698047967326,0.025402721431261845,-0.09105239869499064,1.0,0.6716633204954673,0.7310463181442904,-0.238327742270563,-0.02580427550971252,-0.01862017285593541,0.3174340262023138,-0.007218403444724254,0.26968914083833134,-0.42366335714635056,-0.23515041413234608,-0.4573802003370716,-0.5162611483208656,-0.375676020196887,-0.43346780776426863
LI_MU,-0.08915201573937588,-0.3269370438485304,0.6592501544119094,0.2842421433232614,-0.15788143542251418,-0.43876975437396476,-0.43876975437396476,-0.43876975437396476,-0.5080822171023435,-0.5199587699718767,-0.37403390662448666,-0.1103208252939199,-0.09506217603168317,-0.025707020755849855,-0.606945126426494,-0.7287531360104548,-0.4427385403845563,-0.35370447375085556,0.1009121512416382,-0.20323048738370364,0.6716633204954673,1.0,0.4420862167772791,-0.12503971725220797,0.30161363852607476,-0.02936274488300501,0.42566508536881925,0.20274443342833554,0.34039477723826334,-0.407391898335583,-0.3045638184228441,-0.3506192351850568,-0.45910374879702553,-0.3984776162141571,-0.3743924634656419
LI_ML,-0.31289000517458954,-0.6291852894516361,0.7315484015249579,0.4788197316714535,-0.4381087257052129,-0.23415250636616666,-0.23415250636616666,-0.23415250636616666,-0.36894365226357273,-0.37403146692569483,-0.7534645584817193,-0.006020079749507604,0.05595079775319432,0.2096066177822588,-0.5679189039457815,-0.3796484489662142,-0.9149019981356352,-0.09115685323656296,0.016277571978873438,-0.2768548381175936,0.7310463181442904,0.4420862167772791,1.0,-0.25077558734950645,-0.21087460403413483,0.38985848807270984,0.0927352440281551,-0.06659432964710679,0.4785639782971371,-0.04482639297137531,0.002490150801861577,-0.5867632429766179,-0.49598167713076907,-0.4752681517607427,-0.6580758714206659
LCL_SB,-0.03775411891807886,0.1908219777551912,-0.24668597809749535,-0.0727442182309634,0.07348376884905938,-0.250397652565853,-0.250397652565853,-0.250397652565853,0.22409565029847892,0.11513456739175204,0.2466569473412732,0.055398147296838174,-0.03437084627521891,-0.2957051573079338,0.20291689730311832,0.08464837921169362,0.22160311348692502,-0.016584672457391415,0.047171557408128575,0.1638777993810917,-0.238327742270563,-0.12503971725220797,-0.25077558734950645,1.0,0.7526766075230809,0.4495981840273722,-0.02486510950647866,0.27270963756415084,-0.012584083616861969,0.08477948390369798,0.0004179027744300573,0.145196710570002,0.1766650621532838,0.09580090908464992,0.12407338655642021
LCL_MU,0.10037114583228827,0.22705033288044812,-0.04670060419531332,-0.1498283331154941,0.1532158889501344,-0.36195331164765304,-0.36195331164765304,-0.36195331164765304,0.0018046990129895882,-0.09203970088179937,0.17045424471904363,-0.04950095372477041,-0.13276536136753356,-0.3305715250991429,-0.012866272523753155,-0.33575930359510275,0.1566804005574132,-0.23230186671483996,0.14012337532465602,0.049726971615665944,-0.02580427550971252,0.30161363852607476,-0.21087460403413483,0.7526766075230809,1.0,0.2896078522919962,0.2762564693780698,0.36803217306128577,0.1726477819006984,-0.17368069952586793,-0.17457382656333228,0.017075194158817676,-0.0020374655960119447,-0.040363084262176246,0.041019904819279425
LCL_ML,-0.10861320747989878,-0.06871078457276249,-0.0292258746125941,0.07544563096311771,-0.27810162260162075,-0.20283885673023366,-0.20283885673023366,-0.20283885673023366,0.04194061523779078,-0.029927151803527462,-0.4662937320944442,-0.2465102200127088,-0.2761442226439695,-0.08676126144092423,0.014468274022789801,0.09403935600831634,-0.4698508360486808,-0.29472322496896997,-0.3734522483704584,-0.4704435753261461,-0.01862017285593541,-0.02936274488300501,0.38985848807270984,0.4495981840273722,0.2896078522919962,1.0,0.14954902761546093,0.4214772352559095,0.39913856665058234,0.09883690693880763,0.03355813428283649,-0.4786028454270382,-0.3578414579786778,-0.4557247191318449,-0.5806216853387589
LFC_SB,0.30025453821058534,0.24825486511483824,0.30746244229424186,-0.19386892564589817,0.2023880880822694,-0.5425620676601886,-0.5425620676601886,-0.5425620676601886,-0.554990041159586,-0.5930697444724785,-0.39210155184231993,-0.4213858908081627,-0.41709397059602177,-0.3190412650838789,-0.49937460247952953,-0.5053802817602363,-0.29455140842344857,-0.6284466259263004,-0.4626819744750366,-0.4774473364745901,0.3174340262023138,0.42566508536881925,0.0927352440281551,-0.02486510950647866,0.2762564693780698,0.14954902761546093,1.0,0.6327788306633026,0.661459670432148,-0.4870061062079095,-0.4428793979924752,-0.4795020222915421,-0.43635188226420835,-0.3826395650840147,-0.3383977974084405
LFC_MU,0.2652290686168416,0.36323955997853774,-0.038404248384855975,-0.2524844999399977,0.16748619278730373,-0.32722613016136864,-0.32722613016136864,-0.32722613016136864,-0.16210798614780048,-0.23350788581641746,-0.16460196153569262,-0.5786214211198296,-0.6272309188097385,-0.4084660576174727,-0.08914448760719042,-0.15694662971007453,-0.07593460618474877,-0.6806488417302843,-0.6608260714646198,-0.7813477653953272,-0.007218403444724254,0.20274443342833554,-0.06659432964710679,0.27270963756415084,0.36803217306128577,0.4214772352559095,0.6327788306633026,1.0,0.3533724411077675,-0.19391218646326483,-0.24285261464932767,-0.28267629503370706,-0.32833538999209566,-0.3739531419262008,-0.2996917729919728
LFC_ML,0.11037639549260614,0.014231224113086915,0.2500307753061141,-0.005851469025938382,0.0052909945011881,-0.30680617484552936,-0.30680617484552936,-0.30680617484552936,-0.3375371951755928,-0.44823776962583106,-0.6021381513507256,-0.24187924034995936,-0.23620234467028234,-0.2555597518505164,-0.35082694579818713,-0.3384618497315869,-0.5841635535284928,-0.23154026846524242,-0.1973218997790847,-0.43040284902006437,0.26968914083833134,0.34039477723826334,0.4785639782971371,-0.012584083616861969,0.1726477819006984,0.39913856665058234,0.661459670432148,0.3533724411077675,1.0,-0.18342457382774938,-0.21097308296795445,-0.6099284354947953,-0.3971927425096089,-0.4078766715800232,-0.5143041791465551
EL_SB,-0.27209529955758716,-0.14502943894936948,-0.43215884767987583,0.12035146757796802,-0.17640860005859166,0.6143811394473705,0.6143811394473705,0.6143811394473705,0.6196342510881483,0.5408092967761098,0.26414723272077456,0.22821069507592767,0.21228352080127313,0.22412549670177917,0.5243726518777304,0.5810267894229079,0.1402865749439751,0.5132728003317926,0.12199152389615099,0.11150930824254478,-0.42366335714635056,-0.407391898335583,-0.04482639297137531,0.08477948390369798,-0.17368069952586793,0.09883690693880763,-0.4870061062079095,-0.19391218646326483,-0.18342457382774938,1.0,0.9138187868588555,0.40889668813322116,0.3173909246901246,0.17497954297150975,0.11616329541813356
EL_MU,-0.2336318695784898,-0.15291022997865256,-0.24255315753906287,0.13645125993790896,-0.1699549908459935,0.4175989309572379,0.4175989309572379,0.4175989309572379,0.39198429955129716,0.40271868450909803,0.14489328594621045,0.16756323002482282,0.18015855463294167,0.21762323448613344,0.32242329233355144,0.45057882741573874,0.08616039797576383,0.3681537089868935,0.1705935814914215,0.13807448525037885,-0.23515041413234608,-0.3045638184228441,0.002490150801861577,0.0004179027744300573,-0.17457382656333228,0.03355813428283649,-0.4428793979924752,-0.24285261464932767,-0.21097308296795445,0.9138187868588555,1.0,0.330343646278824,0.16578952351946386,0.10897191925775589,0.040175207400276844
EL_ML,-0.05730876315833248,0.08142891620644704,-0.45716393583572235,-0.09863732687365258,0.06116087746217607,0.6099335143323843,0.6099335143323843,0.6099335143323843,0.6574694276896506,0.7070637410370223,0.8614341500547938,0.23668583621042963,0.18990167888784687,0.14666857900126234,0.5397056888001951,0.413747893855778,0.723613969572947,0.44322105328537625,0.2603901753036697,0.4403885222984299,-0.4573802003370716,-0.3506192351850568,-0.5867632429766179,0.145196710570002,0.017075194158817676,-0.4786028454270382,-0.4795020222915421,-0.28267629503370706,-0.6099284354947953,0.40889668813322116,0.330343646278824,1.0,0.6393124242861854,0.5968809689453441,0.6996070635073832
WMAXSHR_SB,0.051816210441031525,0.18288299946285952,-0.5147506885577112,-0.16947668534917798,0.24428236288482533,0.5342333169429485,0.5342333169429485,0.5342333169429485,0.5865878709879562,0.5199931139095976,0.6229520538328621,0.24901709565678876,0.2516744188623367,-0.04260423191967335,0.5563264260014414,0.4186431037529453,0.5759964028185562,0.5605828298537442,0.2983939885366695,0.46731418063038555,-0.5162611483208656,-0.45910374879702553,-0.49598167713076907,0.1766650621532838,-0.0020374655960119447,-0.3578414579786778,-0.43635188226420835,-0.32833538999209566,-0.3971927425096089,0.3173909246901246,0.16578952351946386,0.6393124242861854,1.0,0.9578488089381872,0.9131123177207519
WMAXSHR_MU,0.09260693475793404,0.17568739253624222,-0.37001838280635174,-0.16197009450957353,0.2803977137536984,0.39539412266710844,0.39539412266710844,0.39539412266710844,0.4094019761177977,0.4209241175312767,0.5573351131707173,0.20244072698794494,0.2382936704463211,-0.06635578805917497,0.39877978865462615,0.2992101966723393,0.5492150054120605,0.4668571428037183,0.32203066485093185,0.5059387258223271,-0.375676020196887,-0.3984776162141571,-0.4752681517607427,0.09580090908464992,-0.040363084262176246,-0.4557247191318449,-0.3826395650840147,-0.3739531419262008,-0.4078766715800232,0.17497954297150975,0.10897191925775589,0.5968809689453441,0.9578488089381872,1.0,0.9360321556695936
WMAXSHR_ML,0.17662608156564077,0.28463728081878364,-0.43026128179893935,-0.2622294213341925,0.3491820873166694,0.3834047701989094,0.3834047701989094,0.3834047701989094,0.4188355157410027,0.4198344694206772,0.7364633103625738,0.23994607910719828,0.24804056755768678,-0.04251344645246243,0.4476685370567468,0.28379199604253874,0.7395556666178631,0.40683775387129373,0.29462985419777743,0.533015697759384,-0.43346780776426863,-0.3743924634656419,-0.6580758714206659,0.12407338655642021,0.041019904819279425,-0.5806216853387589,-0.3383977974084405,-0.2996917729919728,-0.5143041791465551,0.11616329541813356,0.040175207400276844,0.6996070635073832,0.9131123177207519,0.9360321556695936,1.0
