DATE,TIME,K_INDEX,TOTAL_TOTALS,LIFTED_INDEX,SHOWALTER_INDEX,SWEAT,MIXR_SB,MIXR_MU,MIXR_ML,CAPE_SB,CAPE_MU,CAPE_ML,CAPE03_SB,CAPE03_MU,CAPE03_ML,CAPEHGL_SB,CAPEHGL_MU,CAPEHGL_ML,CIN_SB,CIN_MU,CIN_ML,LI_SB,LI_MU,LI_ML,LCL_SB,LCL_MU,LCL_ML,LFC_SB,LFC_MU,LFC_ML,EL_SB,EL_MU,EL_ML,WMAXSHR_SB,WMAXSHR_MU,WMAXSHR_ML,EVENT_CLASS,THUNDERSTORM
,12Z,28.1,50.0,-11.4,0.1,118.0,20.3,20.3,20.3,5105.0,6164.0,4543.0,4.0,0.0,41.0,1529.0,1332.0,1422.0,-129.0,-5.0,-70.0,-11.0,-10.0,-11.0,905.0,1244.0,1525.0,2340.0,2091.0,2478.0,14262.0,15391.0,13988.0,948.0,1041.0,894.0,0.0,0.0
22/4/2026,00Z,34.1,54.0,-5.9,-2.4,236.0,15.8,15.8,15.8,911.0,2769.0,694.0,0.0,0.0,58.0,485.0,869.0,395.0,-532.0,-270.0,-298.0,-6.0,-8.0,-5.0,790.0,659.0,2286.0,3409.0,2730.0,3549.0,11500.0,13348.0,9990.0,440.0,766.0,384.0,0.0,0.0
,12Z,29.6,49.8,-8.6,-1.1,194.0,19.4,19.4,19.4,5120.0,5120.0,2808.0,12.0,12.0,31.0,1537.0,1537.0,992.0,-54.0,-54.0,-83.0,-9.0,-9.0,-6.0,1426.0,1426.0,2109.0,2213.0,2213.0,2770.0,15469.0,15469.0,13823.0,1798.0,1798.0,1331.0,0.0,0.0
23/4/2026,00Z,17.3,36.6,-5.3,-7.0,43.0,20.8,20.8,20.8,3930.0,4977.0,1058.0,0.0,2.0,75.0,1161.0,1384.0,363.0,-144.0,-74.0,-232.0,-5.0,-7.0,-1.0,151.0,160.0,1992.0,2372.0,2151.0,3105.0,14515.0,14819.0,11516.0,446.0,502.0,232.0,0.0,0.0
,12Z,28.5,46.0,-8.6,1.1,143.0,20.9,20.9,20.9,6352.0,6352.0,2804.0,0.0,0.0,36.0,1424.0,1424.0,704.0,0.0,0.0,-58.0,-9.0,-9.0,-4.0,1298.0,1298.0,2264.0,1999.0,1999.0,2764.0,15884.0,15884.0,14075.0,714.0,714.0,474.0,0.0,0.0
24/4/2026,00Z,19.5,38.8,-5.6,5.9,36.0,19.9,19.9,19.9,3498.0,4421.0,505.0,0.0,3.0,83.0,1030.0,1221.0,158.0,-164.0,-98.0,-288.0,-6.0,-7.0,0.0,300.0,218.0,2186.0,2434.0,2242.0,3383.0,14207.0,14670.0,9335.0,384.0,432.0,146.0,0.0,0.0
,12Z,20.7,40.4,-8.7,5.1,40.0,20.8,20.8,20.8,5614.0,6059.0,3739.0,14.0,0.0,45.0,1526.0,1033.0,1121.0,-68.0,-14.0,-107.0,-9.0,-6.0,-6.0,911.0,1255.0,1593.0,2185.0,2097.0,2589.0,15276.0,15468.0,14455.0,1363.0,1416.0,1113.0,0.0,0.0
25/4/2026,00Z,19.1,37.2,-5.5,6.7,20.0,19.6,19.6,19.6,3407.0,3910.0,885.0,2.0,3.0,72.0,1081.0,1171.0,358.0,-127.0,-89.0,-302.0,-5.0,-6.0,-1.0,477.0,413.0,1769.0,2507.0,2390.0,3288.0,14222.0,14458.0,11716.0,542.0,580.0,276.0,0.0,0.0
,12Z,25.5,46.6,-8.1,1.4,112.0,20.3,20.3,20.3,4382.0,4461.0,2196.0,2.0,2.0,44.0,1252.0,1252.0,702.0,-75.0,-67.0,-204.0,-8.0,-8.0,-5.0,774.0,792.0,1570.0,2379.0,2362.0,3005.0,14550.0,14598.0,13066.0,1516.0,1530.0,1073.0,0.0,0.0
26/4/2026,00Z,21.3,40.0,-3.9,5.2,56.0,18.5,18.5,18.5,2591.0,4377.0,2734.0,0.0,0.0,55.0,780.0,1194.0,817.0,-255.0,-94.0,-215.0,-4.0,-6.0,-4.0,579.0,363.0,1223.0,2871.0,2422.0,2832.0,13573.0,14481.0,13647.0,617.0,803.0,634.0,0.0,0.0
,12Z,28.7,48.8,-7.3,-0.5,182.0,20.3,20.3,20.3,4456.0,4456.0,2914.0,12.0,12.0,45.0,1205.0,1205.0,878.0,-114.0,-114.0,-267.0,-7.0,-7.0,-5.0,778.0,778.0,1304.0,2635.0,2635.0,3017.0,14671.0,14671.0,14213.0,1565.0,1565.0,1266.0,0.0,0.0
27/4/2026,00Z,33.7,50.6,-7.9,-1.0,195.0,20.2,20.2,20.2,3653.0,3653.0,2712.0,0.0,0.0,58.0,1003.0,1003.0,789.0,-161.0,-161.0,-251.0,-8.0,-8.0,-6.0,402.0,402.0,1202.0,2708.0,2708.0,2997.0,14011.0,14011.0,13480.0,1011.0,1011.0,871.0,0.0,0.0
,12Z,38.1,58.0,-10.3,-7.6,437.0,21.7,21.7,21.7,5417.0,5417.0,3655.0,5.0,5.0,38.0,1416.0,1416.0,1050.0,-75.0,-75.0,-260.0,-10.0,-10.0,-8.0,649.0,649.0,1193.0,2549.0,2549.0,2978.0,15417.0,15417.0,14031.0,1354.0,1354.0,1112.0,0.0,0.0
28/4/2026,00Z,34.7,51.2,-4.6,-2.3,250.0,17.5,17.5,17.5,2041.0,3928.0,2560.0,0.0,0.0,53.0,710.0,840.0,855.0,-368.0,-143.0,-251.0,-5.0,-5.0,-5.0,650.0,441.0,1302.0,3369.0,2670.0,3167.0,13205.0,13870.0,13432.0,463.0,643.0,519.0,0.0,0.0
,12Z,32.7,52.6,-10.1,-1.6,194.0,20.0,20.0,20.0,3845.0,3845.0,2228.0,0.0,0.0,55.0,1490.0,1490.0,1077.0,-160.0,-160.0,-278.0,-10.0,-10.0,-8.0,583.0,583.0,1517.0,2665.0,2665.0,3174.0,14146.0,14146.0,13489.0,1208.0,1208.0,919.0,0.0,0.0
29/4/2026,00Z,35.9,54.2,-2.5,-4.0,317.0,13.1,13.1,13.1,296.0,952.0,345.0,1.0,0.0,37.0,213.0,0.0,251.0,-714.0,-107.0,-396.0,-2.0,7.0,-3.0,1298.0,2823.0,2412.0,4517.0,3697.0,4381.0,7884.0,10519.0,8000.0,26.0,46.0,28.0,2.0,1.0
,12Z,33.3,57.0,-10.5,-7.0,399.0,20.9,20.9,20.9,5084.0,5084.0,4000.0,20.0,20.0,22.0,1588.0,1588.0,1349.0,-23.0,-23.0,-147.0,-10.0,-10.0,-9.0,770.0,770.0,946.0,2436.0,2436.0,2687.0,14850.0,14850.0,14071.0,1869.0,1869.0,1658.0,2.0,1.0
30/4/2026,00Z,31.7,48.2,-2.0,-1.0,365.0,14.1,14.1,14.1,413.0,1342.0,641.0,1.0,0.0,23.0,236.0,186.0,368.0,-427.0,-108.0,-292.0,-2.0,-2.0,-3.0,903.0,1037.0,1287.0,4045.0,3355.0,3836.0,8542.0,10396.0,9507.0,539.0,1026.0,709.0,1.0,1.0
,12Z,27.3,49.4,-8.4,-1.6,366.0,19.3,19.3,19.3,3597.0,3597.0,3032.0,18.0,18.0,6.0,1428.0,1428.0,1274.0,0.0,0.0,0.0,-8.0,-8.0,-8.0,902.0,902.0,924.0,2383.0,2383.0,2619.0,13545.0,13545.0,12988.0,1437.0,1437.0,1320.0,1.0,1.0
