DATE,TIME,K_INDEX,TOTAL_TOTALS,LIFTED_INDEX,SHOWALTER_INDEX,SWEAT,MIXR_SB,MIXR_MU,MIXR_ML,CAPE_SB,CAPE_MU,CAPE_ML,CAPE03_SB,CAPE03_MU,CAPE03_ML,CAPEHGL_SB,CAPEHGL_MU,CAPEHGL_ML,CIN_SB,CIN_MU,CIN_ML,LI_SB,LI_MU,LI_ML,LCL_SB,LCL_MU,LCL_ML,LFC_SB,LFC_MU,LFC_ML,EL_SB,EL_MU,EL_ML,WMAXSHR_SB,WMAXSHR_MU,WMAXSHR_ML,EVENT_CLASS,THUNDERSTORM
18/4/2026,00Z,28.5,50.2,-7.1,-3.4,242,21.4,21.4,21.4,5288,5345,3841,52,41,44,1259,1252,954,-24,-25,-160,-7,-7,-5,403,292,847,2023,2012,2312,15349,15373,14688,1201,1207,1024,0,0
18/4/2026,12Z,21.9,42.4,-7.7,4.1,51,19.3,19.3,19.3,4180,5718,3264,22,7,51,1125,1421,915,-93,-29,-148,-8,-9,-6,904,598,1315,2447,2121,2679,14967,15782,14429,1144,1338,1011,0,0
19/4/2026,00Z,28.5,46.8,-6.1,0.8,136,20.1,20.1,20.1,3851,4706,2594,0,2,63,1067,1240,757,-146,-83,-227,-6,-7,-4,396,272,1301,2466,2251,2795,14314,14818,13811,1031,1140,846,0,0
19/4/2026,12Z,25.7,41.6,-8.8,4.5,83,21.3,21.3,21.3,5572,5572,2254,5,5,58,1309,1309,630,-55,-55,-221,-9,-9,-5,649,649,1786,2321,2321,3105,15613,15613,13613,1643,1643,1045,0,0
20/4/2026,00Z,19.3,40,-8,5.3,54,20.7,20.7,20.7,4144,4166,2005,8,5,53,1287,1283,727,-38,-40,-257,-8,8,-5,355,299,1198,2397,2391,3127,14536,14559,12886,542,543,377,2,1
20/4/2026,12Z,41.3,60,-11.4,-8.4,459,20.8,20.8,20.8,5077,5077,2350,2,2,50,1559,1559,894,-85,-85,-253,-11,-11,-7,779,779,1748,2420,2420,3274,14846,14846,12923,1066,1066,725,2,1
21/4/2026,00Z,40.1,53,-7.2,-4,310,19.9,19.9,19.9,3249,4313,2723,4,15,43,1149,1386,1012,-163,-80,-159,-7,-9,-6,299,229,1267,2405,2121,2567,14035,14738,13503,1327,1529,1215,0,0
21/4/2026,12Z,28.1,50,-11.4,0.1,118,20.3,20.3,20.3,5105,6164,4543,4,0,41,1529,1332,1422,-129,-5,-70,-11,-10,-11,905,1244,1525,2340,2091,2478,14262,15391,13988,948,1041,894,0,0
22/4/2026,00Z,34.1,54,-5.9,-2.4,236,15.8,15.8,15.8,911,2769,694,0,0,58,485,869,395,-532,-270,-298,-6,-8,-5,790,659,2286,3409,2730,3549,11500,13348,9990,440,766,384,0,0
22/4/2026,12Z,29.6,49.8,-8.6,-1.1,194,19.4,19.4,19.4,5120,5120,2808,12,12,31,1537,1537,992,-54,-54,-83,-9,-9,-6,1426,1426,2109,2213,2213,2770,15469,15469,13823,1798,1798,1331,0,0
23/4/2026,00Z,17.3,36.6,-5.3,-7,43,20.8,20.8,20.8,3930,4977,1058,0,2,75,1161,1384,363,-144,-74,-232,-5,-7,-1,151,160,1992,2372,2151,3105,14515,14819,11516,446,502,232,0,0
23/4/2026,12Z,28.5,46,-8.6,1.1,143,20.9,20.9,20.9,6352,6352,2804,0,0,36,1424,1424,704,0,0,-58,-9,-9,-4,1298,1298,2264,1999,1999,2764,15884,15884,14075,714,714,474,0,0
24/4/2026,00Z,19.5,38.8,-5.6,5.9,36,19.9,19.9,19.9,3498,4421,505,0,3,83,1030,1221,158,-164,-98,-288,-6,-7,0,300,218,2186,2434,2242,3383,14207,14670,9335,384,432,146,0,0
24/4/2026,12Z,20.7,40.4,-8.7,5.1,40,20.8,20.8,20.8,5614,6059,3739,14,0,45,1526,1033,1121,-68,-14,-107,-9,-6,-6,911,1255,1593,2185,2097,2589,15276,15468,14455,1363,1416,1113,0,0
25/4/2026,00Z,19.1,37.2,-5.5,6.7,20,19.6,19.6,19.6,3407,3910,885,2,3,72,1081,1171,358,-127,-89,-302,-5,-6,-1,477,413,1769,2507,2390,3288,14222,14458,11716,542,580,276,0,0
25/4/2026,12Z,25.5,46.6,-8.1,1.4,112,20.3,20.3,20.3,4382,4461,2196,2,2,44,1252,1252,702,-75,-67,-204,-8,-8,-5,774,792,1570,2379,2362,3005,14550,14598,13066,1516,1530,1073,0,0
26/4/2026,00Z,21.3,40,-3.9,5.2,56,18.5,18.5,18.5,2591,4377,2734,0,0,55,780,1194,817,-255,-94,-215,-4,-6,-4,579,363,1223,2871,2422,2832,13573,14481,13647,617,803,634,0,0
26/4/2026,12Z,28.7,48.8,-7.3,-0.5,182,20.3,20.3,20.3,4456,4456,2914,12,12,45,1205,1205,878,-114,-114,-267,-7,-7,-5,778,778,1304,2635,2635,3017,14671,14671,14213,1565,1565,1266,0,0
27/4/2026,00Z,33.7,50.6,-7.9,-1,195,20.2,20.2,20.2,3653,3653,2712,0,0,58,1003,1003,789,-161,-161,-251,-8,-8,-6,402,402,1202,2708,2708,2997,14011,14011,13480,1011,1011,871,0,0
27/4/2026,12Z,38.1,58,-10.3,-7.6,437,21.7,21.7,21.7,5417,5417,3655,5,5,38,1416,1416,1050,-75,-75,-260,-10,-10,-8,649,649,1193,2549,2549,2978,15417,15417,14031,1354,1354,1112,0,0
28/4/2026,00Z,34.7,51.2,-4.6,-2.3,250,17.5,17.5,17.5,2041,3928,2560,0,0,53,710,840,855,-368,-143,-251,-5,-5,-5,650,441,1302,3369,2670,3167,13205,13870,13432,463,643,519,0,0
28/4/2026,12Z,32.7,52.6,-10.1,-1.6,194,20,20,20,3845,3845,2228,0,0,55,1490,1490,1077,-160,-160,-278,-10,-10,-8,583,583,1517,2665,2665,3174,14146,14146,13489,1208,1208,919,0,0
29/4/2026,00Z,35.9,54.2,-2.5,-4,317,13.1,13.1,13.1,296,952,345,1,0,37,213,0,251,-714,-107,-396,-2,7,-3,1298,2823,2412,4517,3697,4381,7884,10519,8000,26,46,28,2,1
29/4/2026,12Z,33.3,57,-10.5,-7,399,20.9,20.9,20.9,5084,5084,4000,20,20,22,1588,1588,1349,-23,-23,-147,-10,-10,-9,770,770,946,2436,2436,2687,14850,14850,14071,1869,1869,1658,2,1
30/4/2026,00Z,31.7,48.2,-2,-1,365,14.1,14.1,14.1,413,1342,641,1,0,23,236,186,368,-427,-108,-292,-2,-2,-3,903,1037,1287,4045,3355,3836,8542,10396,9507,539,1026,709,1,1
30/4/2026,12Z,27.3,49.4,-8.4,-1.6,366,19.3,19.3,19.3,3597,3597,3032,18,18,6,1428,1428,1274,0,0,0,-8,-8,-8,902,902,924,2383,2383,2619,13545,13545,12988,1437,1437,1320,1,1
